,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,victoria,90,BN,1569883877,94,5.28,115.24,75.2,14.38
1,muroto,75,JP,1569883978,83,33.37,134.14,75.2,5.82
2,jamestown,0,AU,1569883442,33,-33.21,138.6,69.45,14.25
3,airai,0,TL,1569883475,46,-8.93,125.41,83.32,1.9
4,bredasdorp,18,ZA,1569883978,81,-34.53,20.04,52.0,2.24
5,floriano,22,BR,1569883730,64,-6.77,-43.02,77.92,2.28
6,hobart,75,AU,1569883979,65,-42.88,147.33,52.0,9.17
7,luderitz,0,NA,1569883684,52,-26.65,15.16,64.4,12.75
8,iqaluit,75,CA,1569883707,93,63.75,-68.52,35.6,4.7
9,toora-khem,1,RU,1569883979,81,52.47,96.11,22.3,2.55
10,ushuaia,75,AR,1569883980,86,-54.81,-68.31,33.8,21.92
11,hithadhoo,83,MV,1569883980,78,-0.6,73.08,82.42,16.84
12,havelock,1,US,1569883918,65,34.88,-76.9,84.2,11.41
13,kavieng,100,PG,1569883696,67,-2.57,150.8,83.67,7.72
14,mataura,36,NZ,1569883468,70,-46.19,168.86,46.0,4.0
15,cape town,75,CL,1569883981,66,-36.41,-71.9,51.8,11.41
16,bluff,0,AU,1569883188,25,-23.58,149.07,81.34,13.69
17,butaritari,60,KI,1569883571,61,3.07,172.79,84.75,7.49
18,roald,100,NO,1569883743,75,62.58,6.12,46.4,18.34
19,new norfolk,40,LR,1569883982,94,6.65,-10.59,78.8,6.69
20,rikitea,99,PF,1569883415,74,-23.12,-134.97,69.45,14.47
21,port alfred,29,CD,1569883982,84,-7.04,29.76,65.67,2.8
22,vao,100,EE,1569883982,96,59.1,26.19,50.37,8.16
23,nikolskoye,90,RU,1569883569,93,59.7,30.79,52.0,6.71
24,suriapet,100,IN,1569883983,90,17.15,79.62,75.04,3.22
25,miri,30,NG,1569883983,83,10.31,9.75,73.95,2.04
26,hilo,20,US,1569883500,66,19.71,-155.08,84.2,6.93
27,kem,63,UG,1569883984,95,2.68,33.77,64.95,5.1
28,kapaa,75,US,1569883521,74,22.08,-159.32,86.0,13.87
29,klaksvik,80,FO,1569883453,86,62.23,-6.59,41.0,4.7
30,bilibino,100,RU,1569883985,91,68.06,166.44,25.17,2.48
31,corowa,0,AU,1569883985,87,-36.0,146.39,57.99,4.7
32,kodiak,1,US,1569883654,62,39.95,-94.76,86.0,14.99
33,avarua,88,CK,1569883456,60,-21.21,-159.78,75.2,11.41
34,hermanus,0,ZA,1569883434,94,-34.42,19.24,57.0,1.01
35,san quintin,67,ML,1569883986,40,13.3,-4.9,86.55,9.24
36,alofi,75,NU,1569883986,74,-19.06,-169.92,80.6,13.87
37,marabba,100,SD,1569883986,89,12.35,32.18,72.34,6.24
38,san cristobal,67,ML,1569883986,40,13.3,-4.9,86.55,9.24
39,manadhoo,100,MV,1569883987,71,5.77,73.38,82.05,6.71
40,hamilton,40,CA,1569883925,87,43.26,-79.87,63.0,8.05
41,erice,0,IT,1569883988,82,38.04,12.59,72.0,5.82
42,springbok,0,ZA,1569883988,76,-29.67,17.88,52.35,6.29
43,qaanaaq,100,GL,1569883509,96,77.48,-69.36,33.82,13.82
44,manta,37,RO,1569883988,72,45.1,24.1,58.47,2.17
45,sao filipe,100,IN,1569883989,89,20.51,76.21,70.35,5.41
46,touros,20,BR,1569883656,83,-5.2,-35.46,75.2,8.05
47,dera bugti,52,ET,1569883989,90,8.33,39.32,58.47,4.92
48,kruisfontein,85,ZA,1569883478,86,-34.0,24.73,50.92,8.37
49,camacupa,26,AO,1569883990,82,-12.02,17.48,61.72,8.93
50,hambantota,20,LK,1569883769,100,6.12,81.12,73.4,2.24
51,haines junction,75,US,1569883990,59,44.91,-117.94,48.2,9.17
52,nome,1,US,1569883991,62,30.04,-94.42,91.0,10.29
53,stephenville,40,CA,1569883991,70,48.55,-58.59,46.4,12.75
54,port augusta,29,CD,1569883991,84,-7.04,29.76,65.67,2.8
55,busselton,35,AU,1569883397,74,-33.64,115.35,50.0,7.74
56,vaini,9,IN,1569883449,97,15.34,74.49,73.42,1.57
57,woodward,75,US,1569883992,51,36.43,-99.39,86.0,14.99
58,esperance,19,AU,1569883403,100,-33.86,121.89,53.6,4.7
59,clyde river,70,NZ,1569883994,80,-45.19,169.32,51.01,1.01
60,evensk,93,RU,1569883994,81,61.92,159.24,32.02,9.86
61,alice springs,62,ZA,1569883995,83,-32.79,26.83,51.64,7.25
62,tasiilaq,46,GL,1569883420,60,65.61,-37.64,41.0,17.22
63,pevek,100,RU,1569883416,88,69.7,170.27,32.55,13.87
64,mys shmidta,100,RU,1569883996,97,62.06,48.62,45.15,6.11
65,tiksi,95,RU,1569883477,85,71.64,128.87,24.1,13.71
66,fort collins,100,IN,1569883996,92,17.96,79.61,73.24,8.03
67,majene,98,ID,1569883996,83,-3.54,118.97,80.07,22.62
68,east london,100,UG,1569883997,95,3.43,31.7,66.04,2.37
69,hualmay,10,PE,1569883715,90,-11.1,-77.61,61.72,13.47
70,cabo san lucas,75,ES,1569883997,93,43.18,-5.8,68.0,3.29
71,beaverlodge,40,CA,1569883998,36,55.21,-119.43,48.2,4.7
72,saint-philippe,90,CA,1569883564,82,45.36,-73.48,57.2,7.83
73,kununurra,48,AU,1569883930,73,-15.77,128.74,73.4,5.82
74,eston,90,CA,1569883898,98,51.15,-108.75,33.8,9.17
75,pisco,90,PE,1569883709,30,-13.71,-76.2,71.6,18.34
76,nanortalik,99,GL,1569883517,58,60.14,-45.24,42.27,8.72
77,yellowknife,75,CA,1569883476,52,62.45,-114.38,46.4,19.46
78,tuktoyaktuk,75,CA,1569883423,81,69.44,-133.03,46.4,9.17
79,new ulm,40,LR,1569883999,94,6.65,-10.59,78.8,6.69
80,kaitangata,20,NZ,1569883864,72,-46.28,169.85,43.0,5.99
81,basco,1,US,1569884000,66,40.33,-91.2,86.0,9.17
82,albany,90,US,1569883491,52,42.65,-73.75,64.4,9.17
83,dondo,0,MZ,1569884001,88,-19.62,34.74,75.2,10.29
84,peruibe,5,BR,1569884001,98,-24.32,-47.0,62.25,1.7
85,chuy,89,UY,1569883448,81,-33.69,-53.46,66.57,10.04
86,cayenne,0,GF,1569883577,78,4.94,-52.33,82.4,2.24
87,salta,6,AR,1569883872,24,-24.79,-65.41,89.6,10.29
88,norman wells,75,US,1569883964,62,35.22,-97.44,87.01,16.11
89,tchollire,100,CM,1569884003,91,8.4,14.17,72.87,1.01
90,sao joao da barra,100,IN,1569884003,89,20.51,76.21,70.35,5.41
91,mahebourg,40,MU,1569883560,83,-20.41,57.7,72.0,10.29
92,katsuura,75,JP,1569883943,94,33.93,134.5,75.99,6.93
93,puerto ayora,40,AR,1569884004,69,-51.62,-69.23,37.4,9.17
94,kalmunai,18,LK,1569883883,91,7.42,81.82,73.77,2.53
95,roma,75,IT,1569883637,82,41.89,12.48,71.6,4.7
96,longyearbyen,20,NO,1569883567,68,78.22,15.63,30.2,24.16
97,vangaindrano,95,MG,1569884005,95,-23.35,47.6,71.8,2.77
98,talnakh,75,RU,1569884005,92,69.49,88.39,28.4,6.71
99,narsaq,93,GL,1569883443,25,60.91,-46.05,53.6,26.4
100,ponta delgada,83,BR,1569884006,96,-0.53,-65.05,73.95,2.64
101,yerbogachen,79,RU,1569884006,93,61.28,108.01,29.32,5.79
102,khatanga,13,RU,1569883518,91,71.98,102.47,20.5,2.64
103,vardo,90,US,1569883725,100,39.62,-77.74,70.0,4.7
104,castro,75,CL,1569883789,70,-42.48,-73.76,42.8,12.75
105,poya,100,NC,1569884007,83,-21.35,165.16,71.25,20.78
106,kenai,75,US,1569884007,81,60.55,-151.26,50.0,10.29
107,punta arenas,75,PH,1569884007,83,14.18,121.12,82.4,2.24
108,lebu,74,ET,1569883687,91,8.96,38.73,52.72,3.74
109,port elizabeth,29,CD,1569884008,84,-7.04,29.76,65.67,2.8
110,biak,96,ID,1569884008,90,-0.91,122.88,66.94,4.38
111,souillac,20,FR,1569883578,93,45.6,-0.6,63.0,1.12
112,khorixas,0,NA,1569884008,51,-20.37,14.96,54.52,5.21
113,ribeira grande,75,PT,1569884009,82,41.76,-8.56,69.01,3.36
114,puli,75,TW,1569884009,88,23.97,120.97,78.01,2.24
115,upernavik,50,GL,1569884009,72,72.79,-56.15,39.22,7.25
116,naze,96,NG,1569884000,95,5.43,7.07,73.77,3.51
117,cleethorpes,100,GB,1569884010,93,53.56,-0.03,53.6,10.29
118,colwyn bay,90,US,1569884011,72,39.91,-75.25,68.0,8.05
119,carnarvon,16,ZA,1569883601,66,-30.97,22.13,45.7,11.81
120,voyvozh,100,RU,1569884011,93,62.89,54.96,41.55,10.27
121,novikovo,99,RU,1569884011,84,51.15,37.89,57.04,17.45
122,caravelas,56,BR,1569883643,87,-17.73,-39.27,72.7,9.98
123,pangnirtung,90,CA,1569883645,93,66.15,-65.72,39.2,8.05
124,codrington,40,AU,1569883522,68,-28.95,153.24,68.0,6.93
125,kompaniyivka,83,UA,1569884013,62,48.25,32.21,60.27,14.38
126,ternate,75,PH,1569884013,83,14.29,120.72,82.4,2.24
127,bom jesus,2,ML,1569884013,20,14.95,-2.93,87.45,2.59
128,sola,59,TZ,1569883797,75,-3.17,33.8,70.17,1.92
129,flinders,20,AU,1569884014,67,-34.58,150.85,64.99,5.84
130,limon,1,US,1569884015,6,39.26,-103.69,91.0,25.28
131,port hardy,29,CD,1569883991,84,-7.04,29.76,65.67,2.8
132,faanui,49,PF,1569883619,78,-16.48,-151.75,77.92,18.59
133,goderich,34,CA,1569884016,76,43.74,-81.71,73.0,8.99
134,asosa,100,ET,1569884016,80,10.07,34.53,65.85,6.58
135,west helena,40,US,1569884016,41,31.8,-97.09,95.0,11.41
136,bac can,0,RS,1569884017,55,45.39,19.24,62.6,4.7
137,ostrovnoy,99,RU,1569883960,94,68.05,39.51,39.57,4.7
138,salinopolis,51,BR,1569884017,79,-0.61,-47.36,80.62,19.44
139,teya,20,MX,1569884018,52,21.05,-89.07,89.6,13.87
140,burlington,40,CA,1569883745,87,43.32,-79.8,63.0,8.05
141,beringovskiy,67,RU,1569883708,78,63.05,179.32,44.97,9.95
142,daru,100,PG,1569884018,84,-9.07,143.21,78.1,9.78
143,mar del plata,32,CN,1569884019,85,29.86,90.73,32.02,3.56
144,yar-sale,100,RU,1569883695,92,66.83,70.83,35.25,9.42
145,bathsheba,40,BB,1569883489,78,13.22,-59.52,82.4,9.17
146,moose factory,90,US,1569884014,45,43.66,-110.72,46.4,3.36
147,yinchuan,2,CN,1569884020,26,38.48,106.21,66.99,1.99
148,kidodi,19,TZ,1569884020,86,-7.6,37.0,69.45,3.15
149,farafangana,87,MG,1569884020,96,-22.82,47.83,71.8,2.39
150,ust-kuyga,90,RU,1569883744,85,70.0,135.55,24.27,2.91
151,santa rosa,83,PH,1569884021,73,17.49,120.43,83.14,7.85
152,torbay,90,CA,1569883566,75,47.66,-52.73,46.0,23.04
153,lorengau,100,PG,1569883576,74,-2.02,147.27,82.95,6.91
154,sungairaya,100,ID,1569884022,78,0.7,108.9,81.52,9.22
155,dikson,56,RU,1569883536,83,73.51,80.55,29.5,14.0
156,isangel,75,VU,1569883800,74,-19.55,169.27,78.8,6.93
157,vaitape,49,PF,1569883637,78,-16.52,-151.75,77.92,18.59
158,plock,75,PL,1569884023,81,52.55,19.71,53.6,19.46
159,manturovo,100,RU,1569884023,95,58.33,44.76,50.02,11.3
160,osa,100,RU,1569884023,88,57.28,55.46,43.9,14.5
161,igarka,95,RU,1569884023,86,67.47,86.57,29.67,8.19
162,udachnyy,75,RU,1569884024,100,66.42,112.4,17.6,4.47
163,aginskoye,96,RU,1569884024,72,51.11,114.54,46.42,12.64
164,najran,0,SA,1569884024,36,17.54,44.22,77.0,10.65
165,kahului,40,US,1569883302,52,20.89,-156.47,89.6,25.28
166,saryg-sep,64,RU,1569884025,83,51.49,95.55,26.44,3.04
167,susehri,0,TR,1569884025,55,40.16,38.09,46.95,1.79
168,constitucion,75,MX,1569883705,43,23.99,-104.67,71.6,6.93
169,bambous virieux,40,MU,1569884026,83,-20.26,57.41,72.0,10.29
170,ortega,40,CO,1569884026,40,3.94,-75.22,87.8,4.7
171,butare,34,BI,1569884026,71,-3.99,29.99,69.45,1.81
172,broome,90,GB,1569884026,91,52.47,1.45,60.01,9.17
173,cherskiy,100,RU,1569883714,92,68.75,161.3,30.04,13.62
174,cidreira,0,BR,1569883771,78,-30.17,-50.22,68.37,18.25
175,meulaboh,93,ID,1569883554,81,4.14,96.13,78.64,5.06
176,lasem,95,ID,1569884027,65,-6.99,112.52,77.74,4.76
177,saint-denis,75,FR,1569884028,77,48.94,2.36,62.01,14.99
178,mweka,91,CD,1569884028,98,-4.85,21.56,70.17,1.36
179,chokurdakh,86,RU,1569883472,85,70.62,147.9,24.64,13.53
